ID;AsuntoEnMayusculas;ContieneOferta;UsaLenguajePromocional;TieneErroresOrtograficos;SolicitaInfoPersonal;ContieneMultiplesLlamadasAccion;EsUrgente;UsaEmoticonos;EsRespuesta;SaludoGenerico
email_01;1;0;1;0;1;1;0;0;1;0
email_02;0;1;0;1;0;0;1;1;0;1;0
email_03;1;1;1;0;0;1;0;1;0;0;1
email_04;0;0;0;1;1;0;1;0;1;0;0
email_05;1;1;0;1;0;0;0;1;0;1;1
email_06;0;0;1;0;1;1;1;0;0;0;0
email_07;1;1;0;1;0;1;0;1;0;0;1
email_08;0;0;1;0;1;0;1;0;1;1;0
email_09;1;1;0;1;0;1;0;1;0;0;1
email_10;0;0;1;0;1;0;1;0;1;1;0
email_11;1;1;0;1;0;1;0;1;0;0;1
email_12;0;0;1;0;1;0;1;0;1;1;0
email_13;1;1;0;1;0;1;0;1;0;0;1
email_14;0;0;1;0;1;0;1;0;1;1;0
email_15;1;1;0;1;0;1;0;1;0;0;1
email_16;0;0;1;0;1;0;1;0;1;1;0
email_17;1;1;0;1;0;1;0;1;0;0;1
email_18;0;0;1;0;1;0;1;0;1;1;0
email_19;1;1;0;1;0;1;0;1;0;0;1
email_20;0;0;1;0;1;0;1;0;1;1;0
email_21;1;1;0;1;0;1;0;1;0;0;1
email_22;0;0;1;0;1;0;1;0;1;1;0
email_23;1;1;0;1;0;1;0;1;0;0;1
email_24;0;0;1;0;1;0;1;0;1;1;0
email_25;1;1;0;1;0;1;0;1;0;0;1
email_26;0;0;1;0;1;0;1;0;1;1;0
email_27;1;1;0;1;0;1;0;1;0;0;1
email_28;0;0;1;0;1;0;1;0;1;1;0
email_29;1;1;0;1;0;1;0;1;0;0;1
email_30;0;0;1;0;1;0;1;0;1;1;0
email_31;1;1;0;1;0;1;0;1;0;0;1
email_32;0;0;1;0;1;0;1;0;1;1;0
email_33;1;1;0;1;0;1;0;1;0;0;1
email_34;0;0;1;0;1;0;1;0;1;1;0
email_35;1;1;0;1;0;1;0;1;0;0;1
email_36;0;0;1;0;1;0;1;0;1;1;0
email_37;1;1;0;1;0;1;0;1;0;0;1
email_38;0;0;1;0;1;0;1;0;1;1;0
email_39;1;1;0;1;0;1;0;1;0;0;1
email_40;0;0;1;0;1;0;1;0;1;1;0
email_41;1;1;0;1;0;1;0;1;0;0;1
email_42;0;0;1;0;1;0;1;0;1;1;0
email_43;1;1;0;1;0;1;0;1;0;0;1
email_44;0;0;1;0;1;0;1;0;1;1;0
email_45;1;1;0;1;0;1;0;1;0;0;1
email_46;0;0;1;0;1;0;1;0;1;1;0
email_47;1;1;0;1;0;1;0;1;0;0;1
email_48;0;0;1;0;1;0;1;0;1;1;0
email_49;1;1;0;1;0;1;0;1;0;0;1
email_50;0;0;1;0;1;0;1;0;1;1;0
email_51;1;1;0;1;0;1;0;1;0;0;1
email_52;0;0;1;0;1;0;1;0;1;1;0
email_53;1;1;0;1;0;1;0;1;0;0;1
email_54;0;0;1;0;1;0;1;0;1;1;0
email_55;1;1;0;1;0;1;0;1;0;0;1
email_56;0;0;1;0;1;0;1;0;1;1;0
email_57;1;1;0;1;0;1;0;1;0;0;1
email_58;0;0;1;0;1;0;1;0;1;1;0
email_59;1;1;0;1;0;1;0;1;0;0;1
email_60;0;0;1;0;1;0;1;0;1;1;0
email_61;1;0;1;0;1;1;0;0;1;0;1
email_62;0;1;0;1;0;0;1;1;0;1;0
email_63;1;1;1;0;0;1;0;1;0;0;1
email_64;0;0;0;1;1;0;1;0;1;0;0
email_65;1;1;0;1;0;0;0;1;0;1;1
email_66;0;0;1;0;1;1;1;0;0;0;0
email_67;1;1;0;1;0;1;0;1;0;0;1
email_68;0;0;1;0;1;0;1;0;1;1;0
email_69;1;1;0;1;0;1;0;1;0;0;1
email_70;0;0;1;0;1;0;1;0;1;1;0
email_71;1;1;0;1;0;1;0;1;0;0;1
email_72;0;0;1;0;1;0;1;0;1;1;0
email_73;1;1;0;1;0;1;0;1;0;0;1
email_74;0;0;1;0;1;0;1;0;1;1;0
email_75;1;1;0;1;0;1;0;1;0;0;1
email_76;0;0;1;0;1;0;1;0;1;1;0
email_77;1;1;0;1;0;1;0;1;0;0;1
email_78;0;0;1;0;1;0;1;0;1;1;0
email_79;1;1;0;1;0;1;0;1;0;0;1
email_80;0;0;1;0;1;0;1;0;1;1;0
email_81;1;1;0;1;0;1;0;1;0;0;1
email_82;0;0;1;0;1;0;1;0;1;1;0
email_83;1;1;0;1;0;1;0;1;0;0;1
email_84;0;0;1;0;1;0;1;0;1;1;0
email_85;1;1;0;1;0;1;0;1;0;0;1
email_86;0;0;1;0;1;0;1;0;1;1;0
email_87;1;1;0;1;0;1;0;1;0;0;1
email_88;0;0;1;0;1;0;1;0;1;1;0
email_89;1;1;0;1;0;1;0;1;0;0;1
email_90;0;0;1;0;1;0;1;0;1;1;0
email_91;1;1;0;1;0;1;0;1;0;0;1
email_92;0;0;1;0;1;0;1;0;1;1;0
email_93;1;1;0;1;0;1;0;1;0;0;1
email_94;0;0;1;0;1;0;1;0;1;1;0
email_95;1;1;0;1;0;1;0;1;0;0;1
email_96;0;0;1;0;1;0;1;0;1;1;0
email_97;1;1;0;1;0;1;0;1;0;0;1
email_98;0;0;1;0;1;0;1;0;1;1;0
email_99;1;1;0;1;0;1;0;1;0;0;1
email_100;0;0;1;0;1;0;1;0;1;1;0
