ID,SolicitaCredenciales,EnlacesSospechosos,AsuntoUrgente_compuesto,DominioRemitenteSospechoso,NombreDominioIncoherente,DominioContacto_compuesto,DominioAmenaza_compuesto,MicroSeñales_fuerte,LinkYActualizacion,SolicitaCredencialesAlternativa,Clase_Verdadera,Clase_Predicha
Correo01,1,1,1,1,1,1,0,1,1,1,Phishing,Phishing
Correo02,0,1,1,1,1,0,1,1,1,0,Phishing,Phishing
Correo03,1,1,1,0,0,0,0,0,0,1,Phishing,Legítimo
Correo04,1,0,1,0,1,0,0,1,0,0,Phishing,Phishing
Correo05,1,1,0,1,1,1,0,1,1,1,Phishing,Phishing
Correo06,1,0,1,1,1,0,1,0,0,0,Phishing,Phishing
Correo07,1,1,1,1,1,1,0,1,0,1,Phishing,Phishing
Correo08,1,1,0,1,1,1,0,1,1,1,Phishing,Phishing
Correo09,0,1,1,1,0,1,0,0,0,0,Phishing,Legítimo
Correo10,1,1,1,1,0,1,1,1,0,1,Phishing,Phishing
Correo11,1,0,1,0,1,0,1,1,0,0,Phishing,Phishing
Correo12,1,0,0,0,0,0,1,0,0,0,Phishing,Legítimo
Correo13,1,1,0,1,1,1,1,1,1,1,Phishing,Phishing
Correo14,1,0,1,1,1,0,1,0,1,0,Phishing,Phishing
Correo15,0,1,1,1,0,0,0,1,1,0,Phishing,Phishing
Correo16,1,0,1,0,0,0,0,0,1,0,Phishing,Legítimo
Correo17,1,1,1,0,1,1,0,1,0,1,Phishing,Phishing
Correo18,0,1,1,1,1,0,1,1,0,0,Phishing,Phishing
Correo19,1,0,0,1,1,1,0,1,1,0,Phishing,Phishing
Correo20,1,1,1,0,1,0,1,0,0,1,Phishing,Phishing
Correo21,1,0,1,1,1,0,1,1,0,0,Phishing,Phishing
Correo22,0,1,0,1,0,1,0,0,0,0,Phishing,Legítimo
Correo23,0,1,1,1,0,0,0,1,1,0,Phishing,Phishing
Correo24,1,1,1,1,1,1,1,1,1,1,Phishing,Phishing
Correo25,1,1,1,0,0,0,0,0,0,1,Phishing,Legítimo
Correo26,1,0,1,0,1,0,0,1,1,0,Phishing,Phishing
Correo27,1,1,0,1,0,1,0,1,1,1,Phishing,Phishing
Correo28,1,0,1,1,1,1,1,0,0,0,Phishing,Phishing
Correo29,0,1,1,1,1,0,1,0,1,0,Phishing,Phishing
Correo30,1,1,0,1,0,1,0,0,0,1,Phishing,Legítimo
Correo31,1,0,1,0,1,0,0,0,1,0,Phishing,Legítimo
Correo32,1,1,1,0,1,1,1,1,0,1,Phishing,Phishing
Correo33,1,0,0,1,1,1,0,1,1,0,Phishing,Phishing
Correo34,0,1,1,1,1,0,1,1,1,0,Phishing,Phishing
Correo35,1,0,1,0,1,1,0,1,0,0,Phishing,Phishing
Correo36,1,1,0,1,1,1,0,0,1,1,Phishing,Phishing
Correo37,1,0,1,1,0,0,1,0,0,0,Phishing,Phishing
Correo38,0,0,1,0,1,0,0,0,1,0,Phishing,Legítimo
Correo39,0,1,1,1,0,1,0,1,0,0,Phishing,Phishing
Correo40,1,1,1,1,1,0,1,1,1,1,Phishing,Phishing
Correo41,1,0,0,1,1,1,0,1,1,0,Phishing,Phishing
Correo42,1,1,0,0,0,0,0,0,0,1,Phishing,Legítimo
Correo43,1,0,1,0,1,0,1,1,0,0,Phishing,Phishing
Correo44,1,0,1,1,0,1,0,0,0,0,Phishing,Legítimo
Correo45,1,1,1,1,1,0,0,1,1,1,Phishing,Phishing
Correo46,1,1,1,1,0,1,0,1,1,1,Phishing,Phishing
Correo47,1,0,0,0,1,1,0,1,0,0,Phishing,Phishing
Correo48,0,1,1,0,0,0,0,0,1,0,Phishing,Legítimo
Correo49,1,1,0,1,1,0,1,1,1,1,Phishing,Phishing
Correo50,1,0,1,1,1,0,1,0,1,0,Phishing,Phishing
Correo51,0,0,0,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo52,0,1,1,0,0,0,0,1,0,0,Legítimo,Phishing
Correo53,0,0,0,1,0,0,0,0,0,0,Legítimo,Legítimo
Correo54,0,0,0,0,0,1,0,0,0,0,Legítimo,Legítimo
Correo55,0,0,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo56,0,1,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo57,0,0,0,1,0,1,0,0,1,0,Legítimo,Legítimo
Correo58,1,0,1,0,0,0,0,1,0,0,Legítimo,Phishing
Correo59,0,0,0,0,0,0,1,0,0,0,Legítimo,Legítimo
Correo60,0,1,0,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo61,1,0,1,1,1,0,0,0,0,0,Legítimo,Phishing
Correo62,0,0,0,1,0,1,0,0,1,0,Legítimo,Legítimo
Correo63,0,0,1,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo64,0,1,0,1,0,0,0,0,0,0,Legítimo,Legítimo
Correo65,0,1,1,1,0,0,1,1,0,0,Legítimo,Phishing
Correo66,0,0,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo67,0,0,0,1,0,1,0,1,0,0,Legítimo,Legítimo
Correo68,0,1,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo69,0,0,1,0,0,0,0,1,1,0,Legítimo,Legítimo
Correo70,1,1,0,1,1,0,0,1,1,1,Legítimo,Phishing
Correo71,0,0,0,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo72,0,1,0,0,1,0,0,0,0,0,Legítimo,Legítimo
Correo73,0,0,0,1,1,1,0,0,0,0,Legítimo,Legítimo
Correo74,0,0,1,0,0,0,1,0,1,0,Legítimo,Legítimo
Correo75,0,1,0,0,0,1,0,0,0,0,Legítimo,Legítimo
Correo76,0,0,0,0,0,0,0,1,0,0,Legítimo,Legítimo
Correo77,1,0,0,1,1,1,1,1,1,0,Legítimo,Phishing
Correo78,0,0,1,1,0,1,0,0,0,0,Legítimo,Legítimo
Correo79,0,1,0,0,0,0,1,0,0,0,Legítimo,Legítimo
Correo80,0,0,0,0,0,1,0,0,1,0,Legítimo,Legítimo
Correo81,0,1,1,1,1,0,0,1,0,0,Legítimo,Phishing
Correo82,0,0,1,0,0,0,0,0,1,0,Legítimo,Legítimo
Correo83,0,1,0,0,0,0,0,1,0,0,Legítimo,Legítimo
Correo84,0,0,0,1,0,1,1,0,0,0,Legítimo,Legítimo
Correo85,0,0,0,0,1,0,0,0,1,0,Legítimo,Legítimo
Correo86,1,1,1,0,1,0,0,0,0,1,Legítimo,Phishing
Correo87,0,1,1,0,0,0,0,0,0,0,Legítimo,Legítimo
Correo88,0,0,0,1,0,0,0,0,1,0,Legítimo,Legítimo
Correo89,0,1,0,0,0,1,0,1,0,0,Legítimo,Legítimo
Correo90,0,0,1,0,1,0,0,0,1,0,Legítimo,Legítimo
Correo91,0,1,0,0,0,0,0,1,1,0,Legítimo,Legítimo
Correo92,1,1,0,0,1,1,0,1,1,1,Legítimo,Phishing
Correo93,0,0,0,1,0,1,0,0,0,0,Legítimo,Legítimo
Correo94,0,0,1,0,0,0,0,1,1,0,Legítimo,Legítimo
Correo95,0,1,0,0,1,1,0,0,0,0,Legítimo,Legítimo
Correo96,0,0,0,0,0,0,0,1,0,0,Legítimo,Legítimo
Correo97,0,1,0,1,0,1,0,0,0,0,Legítimo,Legítimo
Correo98,0,0,1,0,0,1,0,0,0,0,Legítimo,Legítimo
Correo99,1,0,1,1,1,0,1,0,0,1,Legítimo,Phishing
Correo100,0,0,0,1,1,0,0,0,0,0,Legítimo,Legítimo
